i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
6,3,"(1, 3)",1,3,199251.48335073813,0.09935993661057568,199251.38399080152,90 milliseconds,0.0
6,4,"(1, 4)",1,4,172.92775345129752,0.11654179287411892,172.8112116584234,79 milliseconds,0.0
6,5,"(2, 6)",2,6,4900.471319148841,0.0941205200065509,4900.377198628834,101 milliseconds,0.0
6,6,"(2, 1)",2,1,369419.4095304794,304884.90838644555,64534.50114403386,111 milliseconds,0.0
6,7,"(1, 5)",1,5,81313.14319877671,0.0953497302755135,81313.04784904644,104 milliseconds,0.0
6,8,"(1, 6)",1,6,1594.174875845526,0.10228400278633423,1594.0725918427397,85 milliseconds,0.0
6,9,"(2, 2)",2,2,725103.4444719506,376585.78031610505,348517.6641558456,109 milliseconds,0.0
6,10,"(2, 3)",2,3,263953.52472034516,0.09555535237619059,263953.42916499276,110 milliseconds,0.0
6,11,"(2, 4)",2,4,5.946731378611933e-10,0.10699198365216314,-0.10699198305749,80 milliseconds,0.0
6,12,"(1, 1)",1,1,72562.83866120156,62731.25333965302,9831.58532154854,98 milliseconds,0.0
7,1,"(1, 2)",1,2,45796.16126767133,37228.90921729807,8567.25205037326,90 milliseconds,0.0
7,2,"(2, 5)",2,5,117557.13101693678,3.080362185079446e-5,117557.13098613315,110 milliseconds,0.0
7,3,"(1, 3)",1,3,199251.48335073813,3.0166395495775976e-5,199251.48332057174,96 milliseconds,0.0
7,4,"(1, 4)",1,4,172.92775345129752,3.0796953505926865e-5,172.92772265434402,83 milliseconds,0.0
7,5,"(2, 6)",2,6,4900.471319148841,2.9765133374173563e-5,4900.471289383708,107 milliseconds,0.0
7,6,"(2, 1)",2,1,369419.4095304794,225661.74966238896,143757.65986809044,110 milliseconds,0.0
7,7,"(1, 5)",1,5,81313.14319877671,3.0133672182330346e-5,81313.14316864304,90 milliseconds,0.0
7,8,"(1, 6)",1,6,1594.174875845526,2.9820505389950307e-5,1594.1748460250205,82 milliseconds,0.0
7,9,"(2, 2)",2,2,725103.4444719506,246133.1846784961,478970.25979345455,103 milliseconds,1.0
7,10,"(2, 3)",2,3,263953.52472034516,2.9938325391149006e-5,263953.5246904068,100 milliseconds,0.0
7,11,"(2, 4)",2,4,5.946731378611933e-10,2.9875141549305786e-5,-2.9874546876167925e-5,92 milliseconds,0.0
7,12,"(1, 1)",1,1,72562.83866120156,5.077382179924071e-5,72562.83861042775,102 milliseconds,0.0
8,1,"(1, 2)",1,2,45796.16126767133,6.551199241619487e-5,45796.16120215933,96 milliseconds,0.0
8,2,"(2, 5)",2,5,117557.13101693678,3.233761374184097e-5,117557.13098459916,110 milliseconds,0.0
8,3,"(1, 3)",1,3,199251.48335073813,3.41123831527508e-5,199251.48331662573,90 milliseconds,0.0
8,4,"(1, 4)",1,4,172.92775345129752,3.757801661557727e-5,172.9277158732809,79 milliseconds,0.0
8,5,"(2, 6)",2,6,4900.471319148841,3.3461539221812834e-5,4900.471285687302,96 milliseconds,0.0
8,6,"(2, 1)",2,1,369419.4095304794,135623.98870942098,233795.42082105842,107 milliseconds,0.0
8,7,"(1, 5)",1,5,81313.14319877671,3.2641994285058287e-5,81313.14316613472,95 milliseconds,0.0
8,8,"(1, 6)",1,6,1594.174875845526,3.3605488864700654e-5,1594.1748422400372,87 milliseconds,0.0
8,9,"(2, 2)",2,2,250644.8643549069,239840.96947679808,10803.894878108811,118 milliseconds,0.0
8,10,"(2, 3)",2,3,263953.52472034516,3.329919630767818e-5,263953.52468704595,111 milliseconds,1.0
8,11,"(2, 4)",2,4,5.946731378611933e-10,3.142008542957901e-5,-3.1419490756441146e-5,86 milliseconds,0.0
8,12,"(1, 1)",1,1,72562.83866120156,3.246857776579748e-5,72562.83862873298,97 milliseconds,0.0
9,1,"(1, 2)",1,2,45796.16126767133,0.0002497447187404787,45796.161017926606,92 milliseconds,0.0
9,2,"(2, 5)",2,5,117557.13101693678,0.00024063194557899937,117557.13077630484,118 milliseconds,0.0
9,3,"(1, 3)",1,3,199251.48335073813,0.00024743296058601667,199251.48310330516,100 milliseconds,0.0
9,4,"(1, 4)",1,4,172.92775345129752,0.0003004990812402859,172.92745295221627,85 milliseconds,0.0
9,5,"(2, 6)",2,6,4900.471319148841,0.00024575073957402267,4900.471073398101,97 milliseconds,0.0
9,6,"(2, 1)",2,1,369419.4095304794,44134.78484551164,325284.62468496774,114 milliseconds,1.0
9,7,"(1, 5)",1,5,81313.14319877671,0.0002448519793588289,81313.14295392473,94 milliseconds,0.0
9,8,"(1, 6)",1,6,1594.174875845526,0.0002508283206608789,1594.1746250172052,92 milliseconds,0.0
9,9,"(2, 2)",2,2,250644.8643549069,127354.65535948904,123290.20899541785,111 milliseconds,0.0
9,10,"(2, 3)",2,3,10112.313251730207,3469.8351421314596,6642.478109598747,110 milliseconds,0.0
9,11,"(2, 4)",2,4,5.946731378611933e-10,0.00024396613887373234,-0.00024396554420059449,81 milliseconds,0.0
9,12,"(1, 1)",1,1,72562.83866120156,0.00024988010372948904,72562.83841132146,87 milliseconds,0.0
